Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
25/11/2022,73100,73100,73600,72800,1.68M,0.14%
28/11/2022,76700,74500,77000,73800,1.34M,4.92%
29/11/2022,79800,76000,79800,76000,1.71M,4.04%
30/11/2022,81000,80300,81000,77000,1.32M,1.50%
1/12/2022,80000,80900,81400,79200,1.18M,-1.23%
2/12/2022,85000,79900,85000,79300,1.24M,6.25%
5/12/2022,85000,84100,87000,82500,1.66M,0.00%
6/12/2022,80000,85000,85200,80000,1.31M,-5.88%
7/12/2022,78500,80000,82000,78000,1.46M,-1.88%
8/12/2022,77000,79000,81000,77000,2.11M,-1.91%
9/12/2022,77300,78400,79200,77100,1.68M,0.39%
12/12/2022,77400,78800,80500,77400,2.11M,0.13%
13/12/2022,78200,78100,79300,77900,2.23M,1.03%
14/12/2022,78800,79700,79700,78500,1.08M,0.77%
15/12/2022,79500,78800,80700,78600,1.25M,0.89%
16/12/2022,79700,79500,82900,78900,3.16M,0.25%
19/12/2022,79200,80000,81000,79000,757.50K,-0.63%
20/12/2022,79000,79700,82000,79000,1.42M,-0.25%
21/12/2022,78700,81400,81400,78700,962.00K,-0.38%
22/12/2022,79300,79500,81100,79300,1.07M,0.76%
23/12/2022,79100,80200,81200,79100,1.08M,-0.25%
26/12/2022,78900,79200,80800,78900,1.20M,-0.25%
27/12/2022,79100,80200,80500,78900,1.06M,0.25%
28/12/2022,80000,80400,82000,79500,1.17M,1.14%
29/12/2022,80700,82300,82500,80500,1.24M,0.88%
30/12/2022,80000,82900,83100,80000,1.51M,-0.87%
3/1/2023,82600,80200,82600,80200,1.09M,3.25%
4/1/2023,82800,82900,82900,81800,837.90K,0.24%
5/1/2023,84000,82800,84000,82500,1.08M,1.45%
6/1/2023,84000,84000,84800,83900,1.13M,0.00%
9/1/2023,86900,85800,86900,84800,1.67M,3.45%
10/1/2023,87300,86200,89900,86200,2.11M,0.46%
11/1/2023,85100,87300,87300,85100,983.00K,-2.52%
12/1/2023,84800,85200,85200,83800,1.88M,-0.35%
13/01/2023,85800,85200,86500,85200,822.00K,1.18%
16/01/2023,87300,86000,88500,86000,735.20K,1.75%
17/01/2023,89400,88500,89400,87300,644.60K,2.41%
18/01/2023,90000,90000,91000,89400,834.00K,0.67%
19/01/2023,93000,89500,96000,87500,1.72M,3.33%
27/01/2023,93000,93000,94600,91500,1.55M,0.00%
30/01/2023,89900,92100,92500,89800,1.05M,-3.33%
31/01/2023,91900,89900,91900,87800,1.45M,2.22%
1/2/2023,89100,92000,92500,89100,1.14M,-3.05%
2/2/2023,90600,88600,92000,88600,984.60K,1.68%
3/2/2023,93000,90300,93000,89100,893.40K,2.65%
6/2/2023,96000,92600,96300,91500,1.15M,3.23%
7/2/2023,92000,95300,95500,92000,1.20M,-4.17%
8/2/2023,94200,92100,96200,92100,884.80K,2.39%
9/2/2023,93000,93800,95000,93000,759.40K,-1.27%
10/2/2023,94500,94500,94500,92800,647.70K,1.61%
13/02/2023,93500,94800,95400,92000,872.70K,-1.06%
14/02/2023,92500,93500,93500,91200,1.14M,-1.07%
15/02/2023,93000,92500,94200,91200,899.30K,0.54%
16/02/2023,92400,93000,94000,92200,776.60K,-0.65%
17/02/2023,93000,93000,93300,92000,918.90K,0.65%
20/02/2023,93800,93000,94500,93000,1.10M,0.86%
21/02/2023,94200,94200,94900,94000,675.50K,0.43%
22/02/2023,93000,94200,94300,92500,1.03M,-1.27%
23/02/2023,93300,93000,94000,91200,1.03M,0.32%
24/02/2023,93500,93000,94000,90000,631.40K,0.21%
27/02/2023,92800,93000,93500,91700,501.00K,-0.75%
28/02/2023,93500,93100,93700,92600,565.80K,0.75%
1/3/2023,93000,92300,93400,92200,729.70K,-0.53%
2/3/2023,93200,93000,93800,91800,984.70K,0.22%
3/3/2023,90900,91800,92800,90900,798.60K,-2.47%
6/3/2023,91000,91000,92200,91000,711.90K,0.11%
7/3/2023,91900,91500,92500,91100,970.30K,0.99%
8/3/2023,92200,91000,92200,90700,871.90K,0.33%
9/3/2023,93000,92000,93400,91700,1.10M,0.87%
10/3/2023,92100,92200,92500,91500,707.80K,-0.97%
13/03/2023,91500,92000,92000,90800,759.20K,-0.65%
14/03/2023,91000,91000,91200,90500,863.70K,-0.55%
15/03/2023,91400,91600,92000,91100,807.80K,0.44%
16/03/2023,91000,91000,92000,89500,806.00K,-0.44%
17/03/2023,89000,91000,91100,89000,2.27M,-2.20%
20/03/2023,85100,89000,89500,85100,1.03M,-4.38%
21/03/2023,86500,85400,89900,85400,1.06M,1.65%
22/03/2023,89000,86600,89900,86600,1.06M,2.89%
23/03/2023,90700,88800,90700,87300,849.50K,1.91%
24/03/2023,89000,91000,91000,88900,630.00K,-1.87%
27/03/2023,91000,89000,91000,88000,730.10K,2.25%
28/03/2023,91800,90800,92900,90100,845.80K,0.88%
29/03/2023,92300,92500,92500,90500,422.80K,0.54%
30/03/2023,92700,92300,93200,92000,409.70K,0.43%
31/03/2023,91400,92800,93200,90500,950.60K,-1.40%
3/4/2023,92800,91700,92900,91200,736.70K,1.53%
4/4/2023,92000,92800,92900,91600,269.90K,-0.86%
5/4/2023,92100,92300,92300,91100,336.00K,0.11%
6/4/2023,91200,91500,92100,91200,376.30K,-0.98%
7/4/2023,90000,91000,91100,89500,747.20K,-1.32%
10/4/2023,89000,90000,90000,89000,639.30K,-1.11%
11/4/2023,88200,89000,90000,88200,751.60K,-0.90%
12/4/2023,88300,88300,88600,88000,518.40K,0.11%
13/04/2023,88200,88300,88500,87800,491.00K,-0.11%
14/04/2023,88400,88300,89100,88200,414.80K,0.23%
17/04/2023,88400,88400,88500,87800,488.90K,0.00%
18/04/2023,88000,88300,88600,87500,695.10K,-0.45%
19/04/2023,88500,88100,88700,88000,416.90K,0.57%
20/04/2023,88300,88800,88800,88000,257.80K,-0.23%
21/04/2023,87500,88000,88100,87400,356.50K,-0.91%
24/04/2023,87900,88000,88500,87000,505.80K,0.46%
25/04/2023,88300,88200,88500,87500,545.80K,0.46%
26/04/2023,89400,88000,89500,87900,710.20K,1.25%
27/04/2023,90000,88700,90500,88400,580.40K,0.67%
28/04/2023,90500,90000,90500,88800,704.70K,0.56%
